NC_009437.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete genome
NZ_JNWY01000001.1 Kitasatospora setae strain NRRL B-16185 contig1.1, whole genome shotgun sequence
NC_007948.1 Polaromonas sp. JS666, complete genome
NZ_LYPH01000001.1 Mycobacterium leprae 3125609 scaffold1, whole genome shotgun sequence
NC_017317.1 Corynebacterium ulcerans 809, complete genome
NC_011025.1 Mycoplasma arthritidis 158L3-1, complete genome
NC_013158.1 Halorhabdus utahensis DSM 12940, complete genome
NC_015942.1 Acidithiobacillus ferrivorans SS3, complete genome
NC_014925.1 Staphylococcus pseudintermedius HKU10-03, complete genome
NC_016037.1 Komagataeibacter medellinensis NBRC 3288 plasmid pGXY010 DNA, complete sequence
NC_003366.1 Clostridium perfringens str. 13 DNA, complete genome
NC_012483.1 Acidobacterium capsulatum ATCC 51196, complete genome
NC_020802.1 Psychromonas sp. CNPT3, complete genome
NC_006138.1 Desulfotalea psychrophila LSv54 chromosome
NC_015391.1 Carnobacterium sp. 17-4, complete genome
NC_009633.1 Alkaliphilus metalliredigens QYMF, complete genome
NZ_LYUI01000001.1 Bacillus subtilis strain SRCM101280 contig00001, whole genome shotgun sequence
NC_009925.1 Acaryochloris marina MBIC11017, complete genome
NC_018286.1 Phaeobacter gallaeciensis 2.10, complete genome
NC_015666.1 Halopiger xanaduensis SH-6, complete genome
NZ_JFCP01000001.1 Corynebacterium jeikeium strain Cj38002, whole genome shotgun sequence
NZ_LNAH01000009.1 Mycobacterium avium subsp. hominissuis strain MAH-E-61-1t contig_1, whole genome shotgun sequence
NC_014370.1 Prevotella melaninogenica ATCC 25845 chromosome I, complete sequence
NC_012988.1 Methylobacterium extorquens DM4 str. DM4 chromosome, complete genome
NZ_CKRX01000001.1 Streptococcus pneumoniae genome assembly 6680_8#3, scaffold ERS019353SCcontig000001, whole genome shotgun sequence
NZ_JVEV01000003.1 Lactobacillus gasseri strain 497_LGAS 121_12516_150447, whole genome shotgun sequence
NC_013929.1 Streptomyces scabiei 87.22 complete genome
NZ_AFWJ01000332.1 Vibrio nigripulchritudo ATCC 27043 VINI7043_99, whole genome shotgun sequence
NC_008319.1 Synechococcus sp. CC9311, complete genome
NC_016043.1 Taylorella asinigenitalis MCE3, complete genome
NZ_BAEI01000113.1 Gordonia polyisoprenivorans NBRC 16320 DNA, contig: GOPIP113, whole genome shotgun sequence
NC_009635.1 Methanococcus aeolicus Nankai-3, complete genome
NZ_JMKN01000001.1 Agrobacterium tumefaciens strain LBA4404 contig_1, whole genome shotgun sequence
NC_017098.1 Spirochaeta africana DSM 8902, complete genome
JSPL01000060.1 Escherichia coli strain blood-2011-0167 blood-2011-0167_ctg_1010, whole genome shotgun sequence
NZ_CP010538.1 Mycoplasma pneumoniae PI 1428, complete genome
NC_014935.1 Nitratifractor salsuginis DSM 16511, complete genome
NC_015518.1 Acidianus hospitalis W1, complete genome
NZ_CP005986.1 Acidithiobacillus caldus ATCC 51756, complete genome
NC_005061.1 Blochmannia floridanus complete genome
NC_015556.1 Pseudomonas fulva 12-X, complete genome
NZ_FMXC01000083.1 Lactobacillus kefiranofaciens strain ATCC 43761, whole genome shotgun sequence
NC_009715.2 Campylobacter curvus 525.92, complete genome
NZ_LKTW01000001.1 Variovorax paradoxus strain H090 H090_contig000001, whole genome shotgun sequence
NC_021591.1 Serratia plymuthica 4Rx13, complete genome
NZ_CP010999.1 Streptococcus thermophilus strain MN-BM-A02, complete genome
NC_009708.1 Yersinia pseudotuberculosis IP 31758, complete genome
NC_021039.1 Ruminococcus champanellensis type strain 18P13T draft genome
NC_009831.1 Shewanella sediminis HAW-EB3, complete genome
NC_017741.1 Helicobacter pylori Shi112, complete genome
NC_002607.1 Halobacterium sp. NRC-1, complete genome
NC_014259.1 Acinetobacter oleivorans DR1, complete genome
NC_022269.1 Vibrio campbellii ATCC BAA-1116 chromosome I, complete sequence
NC_010803.1 Chlorobium limicola DSM 245, complete genome
NC_003888.3 Streptomyces coelicolor A3(2) chromosome, complete genome
NC_014554.1 Lactobacillus plantarum subsp. plantarum ST-III, complete genome
NC_007512.1 Chlorobium luteolum DSM 273, complete genome
NZ_JYCP01000001.1 Campylobacter fetus subsp. fetus strain H1-UY contig1, whole genome shotgun sequence
NC_020908.1 Octadecabacter arcticus 238, complete genome
NZ_ALZG01000001.1 Streptococcus mutans B114SM-A contig_86, whole genome shotgun sequence
NC_015388.1 Desulfobacca acetoxidans DSM 11109, complete genome
NZ_MJRM01000001.1 Listeria monocytogenes strain BCW_4769 PROKKA_contig000001, whole genome shotgun sequence
NC_007759.1 Syntrophus aciditrophicus SB, complete genome
NC_014472.1 Maribacter sp. HTCC2170, complete genome
NC_009828.1 Thermotoga lettingae TMO, complete genome
NC_013515.1 Streptobacillus moniliformis DSM 12112, complete genome
NC_013410.1 Fibrobacter succinogenes subsp. succinogenes S85, complete genome
NC_012491.1 Brevibacillus brevis NBRC 100599 DNA, complete genome
NC_015152.1 Sphaerochaeta globosa str. Buddy, complete genome
NC_010554.1 Proteus mirabilis strain HI4320, complete genome
NC_013406.1 Paenibacillus sp. Y412MC10, complete genome
NC_010943.1 Stenotrophomonas maltophilia K279a complete genome, strain K279a
NZ_CP011691.1 Bordetella pertussis strain D502, complete genome
NZ_LASP01000001.1 Anaplasma phagocytophilum strain HGE1 mutant DU1.contig.0_1, whole genome shotgun sequence
NC_013165.1 Slackia heliotrinireducens DSM 20476, complete genome
NC_009832.1 Serratia proteamaculans 568, complete genome
NC_009012.1 Clostridium thermocellum ATCC 27405, complete genome
NC_002950.2 Porphyromonas gingivalis W83, complete genome
NC_012778.1 Eubacterium eligens ATCC 27750, complete genome
NC_014145.1 Thiomonas arsenitoxydans, complete genome
NC_015945.1 Muricauda ruestringensis DSM 13258, complete genome
NC_007775.1 Synechococcus sp. JA-3-3Ab, complete genome
NC_002946.2 Neisseria gonorrhoeae FA 1090 chromosome, complete genome
NC_017309.1 Edwardsiella tarda FL6-60, complete genome
NZ_CP009798.1 Burkholderia ambifaria AMMD chromosome 1, complete sequence
NZ_JH932272.1 Lactobacillus crispatus FB077-07 genomic scaffold supercont1.1, whole genome shotgun sequence
NC_010003.1 Petrotoga mobilis SJ95, complete genome
NZ_CP009577.1 Listeria ivanovii subsp. ivanovii strain WSLC 3010, complete genome
NC_004193.1 Oceanobacillus iheyensis HTE831 DNA, complete genome
NC_013441.1 Gordonia bronchialis DSM 43247, complete genome
NC_015732.1 Treponema caldarium DSM 7334, complete genome
NC_015554.1 Alteromonas sp. SN2, complete genome
NC_013203.1 Atopobium parvulum DSM 20469, complete genome
NC_013235.1 Nakamurella multipartita DSM 44233, complete genome
NZ_FPJX01000036.1 Cytophaga hutchinsonii ATCC 33406 strain DSM 1761, whole genome shotgun sequence
NC_012982.1 Hirschia baltica ATCC 49814, complete genome
NC_012214.1 Erwinia pyrifoliae strain Ep1/96 complete chromosome
NC_012004.1 Streptococcus uberis 0140J complete genome
NC_019973.1 Mesorhizobium australicum WSM2073, complete genome
NC_014962.1 Isosphaera pallida ATCC 43644, complete genome
NC_017095.1 Fervidobacterium pennivorans DSM 9078, complete genome
NZ_AJXJ01000001.1 Pseudomonas fluorescens NZ011 contig00001_contig_1, whole genome shotgun sequence
NZ_MYTT01000010.1 Salmonella enterica subsp. enterica serovar Paratyphi B strain BCW_4017 NODE_10_length_153236_cov_2.44781, whole genome shotgun sequence
NC_015844.1 Zobellia galactanivorans strain DsiJT chromosome, complete genome
NC_011365.1 Gluconacetobacter diazotrophicus PAl 5, complete genome
NC_006513.1 Azoarcus aromaticum EbN1 complete genome
NC_015276.1 Marinomonas mediterranea MMB-1, complete genome
NZ_FR854362.1 Lactobacillus reuteri ATCC 53608 annotated genomic scaffold, lreu_v1_TGAC_scaffold_02, whole genome shotgun sequence
